|№    |Дата/время           |Температура |Осадки (мм) |
|-----|---------------------|------------|------------|
|1    |2025-05-06T00:00     |9.6         |0.00        |
|2    |2025-05-06T01:00     |9.3         |0.00        |
|3    |2025-05-06T02:00     |9.0         |0.10        |
|4    |2025-05-06T03:00     |9.0         |0.00        |
|5    |2025-05-06T04:00     |8.9         |0.00        |
|6    |2025-05-06T05:00     |8.7         |0.20        |
|7    |2025-05-06T06:00     |9.0         |0.00        |
|8    |2025-05-06T07:00     |7.4         |0.00        |
|9    |2025-05-06T08:00     |7.1         |0.00        |
|10   |2025-05-06T09:00     |4.8         |0.00        |
|11   |2025-05-06T10:00     |5.1         |0.00        |
|12   |2025-05-06T11:00     |6.2         |0.00        |
|13   |2025-05-06T12:00     |7.1         |0.00        |
|14   |2025-05-06T13:00     |7.6         |0.00        |
|15   |2025-05-06T14:00     |8.2         |0.00        |
|16   |2025-05-06T15:00     |9.7         |0.00        |
|17   |2025-05-06T16:00     |9.4         |0.00        |
|18   |2025-05-06T17:00     |9.3         |0.00        |
|19   |2025-05-06T18:00     |8.8         |0.00        |
|20   |2025-05-06T19:00     |7.9         |0.00        |
|21   |2025-05-06T20:00     |6.8         |0.00        |
|22   |2025-05-06T21:00     |6.4         |0.00        |
|23   |2025-05-06T22:00     |5.9         |0.00        |
|24   |2025-05-06T23:00     |5.2         |0.00        |
